transaction_id,product_id,customer_id,quantity,transaction_date
1,195,779,1,2025-08-11
2,129,334,1,2024-11-03
3,161,384,5,2024-09-10
4,5,368,1,2025-03-04
5,185,927,4,2025-11-28
6,156,854,4,2024-06-05
7,34,487,5,2026-01-23
8,95,134,4,2024-10-16
9,146,56,1,2026-02-04
10,107,109,1,2026-01-09
11,127,10,3,2024-04-29
12,71,375,4,2025-07-20
13,55,447,1,2024-09-07
14,149,520,5,2024-06-01
15,113,761,3,2025-06-06
16,44,535,2,2025-08-04
17,32,765,2,2025-07-05
18,26,747,3,2024-08-21
19,106,624,2,2025-11-09
20,138,126,1,2024-09-20
21,83,609,1,2025-10-16
22,49,366,1,2024-04-20
23,103,769,3,2025-04-22
24,99,528,2,2026-01-04
25,144,400,1,2025-07-05
26,101,991,1,2025-12-11
27,6,564,2,2025-01-01
28,150,996,3,2024-06-18
29,29,767,3,2025-12-09
30,175,904,2,2025-11-12
31,160,161,2,2024-04-07
32,95,598,4,2025-03-29
33,38,79,2,2024-11-22
34,50,129,4,2025-06-22
35,100,142,3,2024-05-03
36,120,654,4,2024-06-22
37,48,832,3,2026-01-17
38,91,434,5,2026-01-07
39,137,358,3,2025-12-31
40,172,231,4,2024-03-12
41,34,929,4,2025-10-10
42,96,828,5,2025-04-07
43,161,293,3,2024-11-15
44,5,140,3,2024-03-07
45,1,574,4,2025-06-21
46,112,18,4,2024-10-21
47,56,850,2,2025-11-04
48,122,651,3,2025-04-17
49,167,484,2,2026-01-25
50,130,156,1,2024-12-01
51,195,426,4,2025-04-05
52,103,791,1,2024-03-19
53,17,518,3,2025-06-26
54,44,930,3,2025-10-08
55,141,950,5,2024-12-12
56,184,442,5,2024-05-10
57,114,699,3,2024-03-14
58,49,505,1,2025-12-19
59,155,580,4,2025-11-19
60,196,577,3,2024-03-29
61,189,749,5,2024-03-02
62,75,906,4,2024-10-28
63,68,387,2,2024-03-23
64,134,50,4,2024-09-17
65,30,304,5,2024-12-14
66,171,302,2,2025-09-28
67,92,468,1,2024-07-15
68,101,194,5,2024-09-01
69,12,410,1,2024-09-22
70,29,596,2,2026-01-17
71,100,896,5,2024-03-29
72,57,929,2,2025-08-22
73,19,37,3,2024-10-20
74,106,447,4,2025-02-06
75,58,552,3,2024-10-05
76,28,614,3,2025-09-28
77,107,744,2,2025-12-17
78,36,425,3,2024-05-31
79,67,745,5,2024-11-22
80,134,487,1,2024-07-18
81,175,146,2,2024-03-15
82,17,336,5,2025-03-30
83,197,861,4,2025-04-27
84,27,187,5,2024-07-26
85,117,351,4,2024-10-14
86,83,433,2,2024-03-25
87,151,657,1,2025-02-14
88,191,361,3,2026-01-03
89,114,99,1,2025-04-29
90,193,973,1,2025-03-12
91,130,563,4,2024-09-25
92,53,979,5,2024-07-14
93,47,980,1,2024-10-03
94,181,124,1,2025-01-17
95,128,78,4,2025-07-26
96,122,258,1,2025-06-22
97,103,178,2,2024-05-08
98,166,82,4,2024-07-02
99,50,146,1,2024-06-18
100,40,98,5,2025-10-29
101,32,769,3,2024-05-01
102,79,707,3,2024-06-15
103,6,905,4,2025-11-11
104,166,107,1,2024-03-14
105,193,924,2,2025-10-28
106,134,343,3,2025-08-06
107,190,6,2,2024-11-02
108,194,956,5,2025-02-05
109,155,164,2,2024-02-18
110,90,978,4,2025-03-25
111,164,510,2,2025-01-06
112,52,238,5,2025-01-30
113,97,720,3,2025-12-03
114,16,688,1,2024-02-18
115,80,828,4,2024-07-26
116,131,85,2,2024-08-07
117,56,900,1,2026-01-06
118,26,57,1,2025-06-28
119,134,232,5,2026-01-25
120,158,191,5,2025-05-29
121,13,116,2,2025-10-22
122,2,812,1,2024-09-16
123,112,380,4,2026-01-15
124,191,78,2,2026-02-16
125,67,709,2,2024-06-20
126,68,346,2,2025-02-10
127,59,580,4,2025-04-08
128,15,569,4,2024-06-17
129,54,914,2,2024-05-18
130,80,18,4,2025-12-21
131,124,257,3,2025-06-06
132,132,926,2,2024-09-28
133,188,862,1,2025-05-20
134,54,156,5,2026-02-07
135,87,510,5,2025-08-13
136,10,162,3,2024-12-26
137,19,361,5,2026-01-23
138,64,374,5,2025-01-06
139,124,336,1,2025-12-20
140,186,794,1,2024-08-17
141,141,687,2,2025-09-29
142,27,745,3,2025-10-03
143,169,123,1,2024-12-16
144,141,962,1,2024-04-28
145,142,668,4,2024-10-15
146,117,415,1,2025-07-18
147,61,329,3,2024-06-28
148,126,567,2,2025-10-30
149,183,967,1,2026-01-02
150,81,440,1,2024-10-12
151,194,758,5,2024-02-23
152,171,7,4,2025-10-03
153,105,331,1,2026-01-06
154,126,191,2,2026-02-16
155,43,514,3,2026-01-19
156,86,438,5,2025-12-14
157,71,952,2,2025-07-15
158,68,207,5,2024-10-27
159,116,295,1,2025-07-29
160,152,286,5,2024-10-02
161,182,502,3,2025-10-05
162,40,603,3,2024-10-30
163,193,336,3,2026-01-14
164,69,746,5,2024-04-29
165,194,644,3,2024-04-22
166,16,432,5,2024-12-12
167,145,127,2,2025-04-26
168,5,646,1,2024-03-31
169,68,402,5,2025-04-27
170,36,475,4,2025-06-27
171,12,154,3,2025-09-01
172,112,293,3,2025-04-10
173,173,646,2,2025-04-18
174,114,700,3,2024-07-03
175,194,407,5,2024-02-23
176,17,30,2,2024-06-11
177,156,585,3,2025-11-20
178,6,331,2,2024-07-16
179,185,942,5,2025-12-06
180,148,688,3,2024-05-04
181,72,313,3,2024-08-08
182,67,765,2,2024-10-05
183,28,246,1,2025-03-19
184,144,917,5,2024-02-21
185,153,110,1,2026-01-06
186,183,96,4,2024-08-22
187,2,332,3,2024-09-16
188,173,189,5,2024-05-07
189,181,360,2,2024-04-14
190,123,418,3,2025-12-12
191,54,500,4,2024-10-15
192,155,227,3,2024-04-24
193,110,310,5,2024-04-14
194,52,613,4,2025-07-05
195,157,163,4,2025-08-04
196,130,681,1,2025-11-05
197,95,545,1,2024-05-10
198,64,693,2,2025-01-22
199,31,18,1,2025-01-22
200,1,218,2,2025-06-01
201,17,853,3,2025-12-24
202,189,279,2,2024-08-31
203,24,33,2,2025-04-07
204,82,571,2,2025-01-23
205,183,589,2,2025-09-01
206,114,344,1,2025-02-01
207,87,508,2,2024-04-17
208,180,247,4,2025-09-24
209,151,847,5,2026-01-02
210,17,500,3,2025-03-09
211,86,857,1,2025-05-27
212,130,442,4,2026-01-30
213,157,605,1,2025-01-06
214,95,23,4,2024-08-15
215,69,230,5,2024-09-26
216,129,755,3,2024-11-16
217,137,606,3,2024-10-13
218,180,48,3,2024-08-07
219,152,620,2,2025-05-14
220,12,94,5,2024-05-01
221,169,3,2,2025-03-15
222,12,544,1,2024-11-02
223,180,754,5,2024-06-22
224,185,568,1,2025-12-22
225,151,282,2,2025-06-07
226,92,107,2,2024-04-19
227,188,75,3,2024-05-10
228,65,545,1,2025-07-12
229,18,803,5,2024-05-27
230,80,587,4,2026-01-01
231,199,369,2,2025-12-24
232,103,970,4,2024-05-10
233,61,654,4,2025-09-14
234,91,179,2,2025-05-19
235,165,691,4,2024-08-12
236,151,321,1,2024-04-20
237,147,519,1,2025-08-22
238,168,889,2,2025-02-04
239,98,475,5,2026-02-06
240,190,538,5,2024-09-24
241,76,31,5,2024-08-14
242,64,12,2,2025-09-22
243,25,903,3,2025-08-15
244,176,395,4,2024-12-17
245,91,108,4,2024-03-27
246,30,759,1,2025-03-01
247,197,234,3,2025-10-16
248,70,444,1,2025-12-15
249,111,970,5,2025-11-11
250,96,876,2,2024-05-21
251,149,356,1,2025-03-03
252,35,468,5,2025-05-20
253,94,939,4,2025-01-23
254,69,454,1,2024-10-17
255,135,360,3,2024-10-17
256,134,23,5,2024-07-25
257,59,612,2,2025-02-08
258,14,353,3,2025-01-10
259,93,392,4,2024-03-15
260,83,677,2,2025-03-30
261,46,741,1,2025-12-24
262,78,830,4,2024-07-23
263,124,582,4,2025-04-08
264,134,675,5,2025-12-23
265,200,511,4,2025-02-13
266,6,164,2,2025-07-21
267,176,969,5,2024-07-16
268,27,907,1,2025-05-04
269,170,834,2,2024-09-17
270,33,314,5,2025-01-03
271,60,405,5,2026-02-09
272,164,388,5,2024-12-02
273,81,621,3,2026-01-13
274,33,885,2,2025-09-02
275,169,530,1,2025-07-21
276,79,83,5,2024-06-21
277,106,587,1,2024-02-27
278,130,259,4,2024-05-02
279,172,491,1,2024-10-04
280,78,716,5,2025-07-16
281,48,493,4,2025-12-16
282,117,535,1,2025-07-19
283,167,76,1,2024-08-28
284,140,217,3,2025-04-22
285,49,700,3,2026-01-19
286,187,434,3,2024-06-30
287,197,847,1,2026-01-05
288,12,557,4,2026-01-11
289,40,854,5,2025-07-09
290,62,59,4,2025-05-04
291,13,481,5,2025-04-13
292,42,918,4,2024-03-22
293,175,726,4,2025-03-11
294,103,73,5,2025-04-07
295,104,64,3,2024-10-23
296,56,330,5,2025-05-04
297,122,252,4,2024-12-04
298,144,650,3,2024-03-04
299,112,152,1,2024-04-08
300,198,293,5,2025-11-07
301,104,276,1,2025-07-23
302,109,230,1,2025-04-24
303,100,186,2,2024-07-18
